/home/junpyolee/anaconda3/envs/kotorch/lib/python3.8/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
# of episode :20, avg score : -1819.9, optmization step: 400
# of episode :40, avg score : -1475.5, optmization step: 800
# of episode :60, avg score : -1349.4, optmization step: 1200
# of episode :80, avg score : -1256.2, optmization step: 1600
# of episode :100, avg score : -1214.8, optmization step: 2100
# of episode :120, avg score : -1085.3, optmization step: 2500
# of episode :140, avg score : -1262.3, optmization step: 2900
# of episode :160, avg score : -1253.3, optmization step: 3300
# of episode :180, avg score : -1205.8, optmization step: 3700
# of episode :200, avg score : -1169.1, optmization step: 4200
# of episode :220, avg score : -1127.3, optmization step: 4600
# of episode :240, avg score : -1030.3, optmization step: 5000
# of episode :260, avg score : -1173.5, optmization step: 5400
# of episode :280, avg score : -1121.9, optmization step: 5800
# of episode :300, avg score : -1102.5, optmization step: 6300
# of episode :320, avg score : -976.1, optmization step: 6700
# of episode :340, avg score : -1013.5, optmization step: 7100
# of episode :360, avg score : -919.2, optmization step: 7500
# of episode :380, avg score : -808.1, optmization step: 7900
# of episode :400, avg score : -900.9, optmization step: 8300
# of episode :420, avg score : -765.1, optmization step: 8800
# of episode :440, avg score : -755.1, optmization step: 9200
# of episode :460, avg score : -692.4, optmization step: 9600
# of episode :480, avg score : -771.0, optmization step: 10000
